epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix,a,g
0,0.16574170252658005,6.0,6,True,False,(1.0+(exp(Om)-sigma8)),[add 1.0 sub exp Om sigma8],1.0,1.0
0,0.13145777782741255,16.0,16,True,False,((((Om)**(2))+(-((exp(((g/1.0)/g))+1.0))/sigma8))/w),[div add n2 Om div neg add exp div div g 1.0 g 1.0 sigma8 w],1.0,1.0
0,0.0,26.0,26,False,False,(((1.0)**(0.5))*log(((((w)**(2))/g)/-((((((((((((((((Om)**(-1))+a))**(0.5))+sigma8))**(0.5)))**(-1)))**(0.5))+sigma8)-1.0)+sigma8))))),"[mul sqrt 1.0 log div div n2 w g neg add sub add sqrt inv sqrt add sqrt
 add inv Om a sigma8 sigma8 1.0 sigma8]",1.0,1.0
0,0.0,22.0,22,False,False,-((sigma8+((((g-((((-(((a/(sigma8/(((Om/((1.0)**(2))))**(2))))+sigma8)))**(0.5)))**(0.5)))*Om))**(2)))),"[neg add sigma8 n2 mul sub g sqrt sqrt neg add div a div sigma8 n2 div Om
 n2 1.0 sigma8 Om]",1.0,1.0
0,0.13888276837860045,4.0,4,True,False,(((1.0-w))**(2)),[n2 sub 1.0 w],1.0,1.0
0,0.1597739445724087,7.0,7,True,False,((((((-((w+1.0)))**(0.5)))**(-1)))**(0.5)),[sqrt inv sqrt neg add w 1.0],1.0,1.0
0,0.16873222653770145,8.0,8,True,False,((((-((((exp(sigma8)-Om))**(-1))))**(-1)))**(0.5)),[sqrt inv neg inv sub exp sigma8 Om],1.0,1.0
0,0.0,26.0,26,False,False,(a*((((-((((-(Om)*-((((w*((((w*((sigma8+Om)-1.0))+w)-w)+Om)))**(2)))))**(-1))))**(-1)))**(2))),"[mul a n2 inv neg inv mul neg Om neg n2 mul w add sub add mul w sub add
 sigma8 Om 1.0 w w Om]",1.0,1.0
0,0.18927874997348318,7.0,7,True,False,(log(1.0)*log(((exp(w))**(-1)))),[mul log 1.0 log inv exp w],1.0,1.0
0,0.16219475027270433,10.0,10,True,False,((-(((log((sigma8*(((Om)**(2))-Om))))**(2))))**(0.5)),[sqrt neg n2 log mul sigma8 sub n2 Om Om],1.0,1.0
